ana	(prep.): to
arnum	sin, crime; punishment
a^srum	place
a^s^sum	(prep.): because of, concerning; (conj.): because
aw_ilum	man
b_itum (masc.), pl. b_it_atum (fem.)	house
dannum	strong, powerful
erretum	curse, malediction
ezzum	angry
gitm_alum	perfect, noble
ilum, pl. il_u, il_an_u	god
ina	(prep.): in, among, from within, with (instrumental)
i^s_atum	fire
i^stu	(prep.): from
kabtum	heavy, honored
kadrum	wild, fierce
k_ima	(prep.): as, like; (conj.): as, that, when
ma_hrum	front
ina ma_har	in front of
mar.sum, f. maru^stum (< maru.stum)	sick, difficult, painful
ni^s_u (fem., plur. tantum)	people
pu^squm	difficulty
rab^um	great
r_imum	wild bull
sap_hum	scattered
^san^um, f. ^san_itum	second, other
^sarrum	king
tam_h_arum	battle
ummum	mother
wardum	slave, servant
wa^s.tum	difficult, unpleasant
zikarum, zikrum	male, man

abum, plur. abb_u	father
a^s^satum	wife
aw_atum	word, affair, thing
b_anium, b_an^um	builder, maker
b_eltum	lady, mistress
b_elum	lord, master, owner
b_i^sum	possession
d_arium, d_ar^um	(ever)lasting
d_inum	judgement, legal case
ekallum	palace
eli	(prep.): on, upon
eqlum	field
err_e^sum	(tenant-)farmer
er.setum	earth
e.semtum, pl. e.sm_etum	bone
_hulqum	lost object
idum	arm, side
_inum	eye
itti	(prep.): with
kal^um	totality, entirety
kunukkum	cylinder-seal
libbum	heart, center, middle
m_arum	son
m_atum (fem.), plur. m_at_atum	land
m_i^sarum	justice
nidittum	gift
q_atum	hand
r_e'^utum	shepherdship
rub_a'um, rub^um	prince
.se_hrum (< *.sa_harum), f. .se_hertum	small
.sibtum	interest (on capital)
.s_irum, f. .s_irtum	exalted
^saknum (< *^sakinum)	governor
^salu^stum	one third
^sam_a'_u, ^sam^u (plur.)	sky, heavens
^sarratum	queen
^siprum	work
^subtum	seat, dwelling
^sulmum	wholeness, health
^sumum	name, offspring
^s_uqurum, f. ^s_uqurtum	precious
.tuppum	(clay) tablet
u	and
z_erum	seed
zittum	share (of property)

al_akum (pret. illik, pres. illak)	to go
dajj_anum	judge
i.sum	tree, wood
kaspum	silver
ka^s_adum (u/a)	to reach, arrive at, conquer
ma_h_a.sum (a)	to beat, strike
m^u (plur. < *ma'_u, *maw_u)	water
nad_anum (pret. iddin, pres. inaddin)	to give
nak_asum (pret. ikkis, pres. inakkis)	to cut down, cut off
namk_urum	good, possession
na.s_arum (pret. i.s.sur, pres. ina.s.sar)	to guard, keep
n_i^sum	life
n_i^s ilim	oath
nu_h^sum	abundance
pal_a_hum (a)	to fear, reverence
paq_adum (i)	care for (acc.); to entrust (acc.) to (ana/dat.)
par_asum (u/a)	to cut, divide
pa^s_a.tum (i)	to erase, efface
p^um (status constr.: p_i)	mouth
puruss_a'um, puruss^um	decision
puruss^am par_asum	to make a decision
rag_amum (u)	to claim, raise a legal claim
rittum	wrist, hand
.sab_atum (a)	to seize
^sak_anum (u/a)	to put, place, set
^saq_alum (u/a)	to weigh (out), pay
^sar_akum (u/a)	to present, give
^sar_aqum (i)	to steal
^seb_erum (i, pres. i^sebbir)	to break
^summa	(conj.): if
zak_arum (u/a)	to speak, say, name

adi	(prep.): until, as far as, together with; (conj.): as long as, until
ana m_inim, amm_ini(m)	why?
an_aku	I
anumma	now, herewith
a^s^sum	(prep.): regarding; (conj.): because
bal_a.tum (u)	to live, be in health
_hal_aqum (i)	to be lost, destroyed, perish
in_uma	when
k_i'am	thus, as follows
kir^um < kiri'um	orchard, garden
kittum (fem. of k_inum)	truth, justice
k_in_atum (pl.)	justice
l_ama	before
l_u ... l_u	either ... or
-ma	emphatic particle; connective particle
nar^um (NA4.R'U.A)	stele
sinni^stum	woman
^sa	who, which
^sap_arum (u/a)	send; send (a letter), write
^sarr_aqum	thief
^sa.t_arum (u/a)	to write
^siqlum	sheqel, ca. 8.3 grams
^sumru.sum	ill, very sick
tamk_arum	merchant
.tar_adum (u/a)	to send (a person)
.t_emum (*t`m)	news, report
u	and
_u	or
ul	not
wal_adum (pret. _ulid, pret. ullad)	to bear, give birth to (acc.)
warki	after

ar_hi^s	quickly
baq_arum (u/a)	to claim (legally)
dab_abum (u)	to speak
_ha.t.tum, pl. _a.t.t_atum	staff, scepter
kar_abum (u/a)	to bless, greet, pray
lab_a^sum (a)	to put on, wear; Gt to clothe one self (+ acc.: with [a garment])
lab_irum	old
mag_arum (u/a)	to agree to (acc.), welcome; Gt agree with (itti) someone about (ana)
mu^st_alum (*^s'l)	prudent
qaqqadum	head
qaqqad_i	myself
r_e'_^um (G ptc. of *r'_i)	shepherd
.sibtum	agricultural holding, property
^sal_amum (i)	be whole, healthy
watar (adv.)	further, excessively

abbuttum	slave lock
ak_alum (pret. _ikul, pres. ikkal)	to eat
u^st_akil perf. ^S	he caused to eat, graze
bullu.tum (D)	to heal, give life to
gigun^um ; *gigun_a'um	terrace-temple
gullubum (D)	to shave, shave off
_hulluqum (D)	to destroy
i^sdum	foundation
kam_arum (u/a) (G and D)	to pile up, heap up
lab_a^sum (a)	to put on, wear; D to clothe someone (acc.) with (acc.); ^S to clothe
lam_adum (a)	to learn; D to teach, inform
m_ere^stum (*.hr^s)	cultivation; field
Meslam	name of a temple (Sum.)
mimma ^sum^su	anything whatsoever, everything
rap_a^sum (i)	be broad; D make broad, abundant
san_aqum (i)	to come close; D to check, control
sarrum	false, lying
.s_enum	sheep and goats (coll.)
.sub_atum	garment, mantle
^sad_alum (i)	be wide; D widen
^sarr_utum	kingship
^suklulum (^S)	to perfect, complete
^sur^sudum (^S)	to found firmly
^se'um	barley
^subtum	dwelling
t^ertum, pl. t^er_etum (*w'r)	command; (extispicy) omen
umma	thus (says)
warqum	green, yellow-green

a_hum	brother
ba^s^um (pret. ib^si, pres. iba^s^si)	to be; N to come to be
dullum	work; ritual
kab_atum (i)	to be heavy; D to make heavy, to honor
kajj_ani^s	constantly
ma_h_arum (u/a)	to confront, receive
mar_a.sum (a)	to be sick, difficult, grieved
mu^sum	night
nak_adum (u)	to beat (of heart), be disturbed
naplusum (N)	to look at (favorably)
ram_anum	self
ana ram_ani^su	by himself, alone
rub_a'um, rub^um	prince, noble
s_h_arum (u)	turn, turn to, seek, concern oneself about (ana)
sattukkum (< Sum.)	ration (Mari); regular offering
^sa	who, whom
^sar^um	rich, wealthy
urrum	light, day
zam_arum (u)	to sing

ban^um (-i)	to make, create, build
