uno	eins, einer
en la frontera	an der Grenze
qué	was
hay	es gibt
el bolso	Tasche
¿Qué hay en el bolso?	Was ist in der Tasche?
un disco	eine Schallplatte
y	und
un libro	ein Buch
¿Algo más?	Etwas mehr/anderes?
sí	ja
también	auch
un periódico	eine Zeitung
una carta	ein Brief
una revista	eine Zeitschrift
¿Y esto? ¿Qué es?	Und das?, Was ist das?
Es una cámera fotográfica.	Das ist ein Fotoapparat
la maleta	Koffer
¿En qué maleta?	In welchem Koffer?
la maleta negra	der schwarze Koffer
camisas	Hemden
botellas	Flaschen
¿Cuántas?	Wieviele?
dos	zwei
o	oder
tres	drei
cuatro	vier
el tabaco	Tabak
el chocolate	Schokolade
no	nein
el señor	Herr
la maleta blanca	der weisse Koffer
discos	Schallplatten
¿Cuántos?	Wieviele?
cinco	fünf
¿Qué es esto?	Was ist das?

¿Dónde está?	Wo ist/liegt es?
Burgos	Stadt im Norden Spaniens
España	Spanien
Burgos está en España, ¿verdad?	Burgos liegt in Spanien, nicht wahr?
Sí, claro.	Ja, klar.
Lima	Hauptstadt Perus
el chico	Junge
Lima está en Perú.	Lima liegt in Peru.
Montevideo	Haupstadt Uruguays
No sé.	Ich weiss nicht.
la señora	Frau, Dame
¡Mucha gusto!	Sehr erfreut!
¡Encantado!	Angenehm!
Buenos días.	Guten Tag./Guten Morgen.
¿Cóm está usted?	Wie geht es Ihnen?
Muy bien, gracias, ¿y usted?	Sehr gut, danke, und Ihnen?
¡Adiós!	Auf Wiedersehen!
el amigo	Freund
entre amigos	unter Freunden
¡Hola, Pedro!	Hallo, Pedro!
¿Qué tal?	Wie geht's?
Y tú, ¿cómo estás?	Und Dir, wie geht es Dir?
la agencia de viajes	Reisebüro
Granada	Stadt im Süden Spaniens
Madrid	Hauptstadt Spaniens
Caracas	Hauptstadt Venezuelas

aquí	hier
se habla(n)	man spricht
la lengua	Sprach
el español, el castellano	Spanisch
el catalán	Katalanisch
el gallego	Galicisch
el vasco	Baskisch
la capital de España	die Hauptstadt Spaniens
el centro del país	das Landesinnere
una ciudad grande	eine grosse Stadt
en el noreste	im Nordosten
en la costa	an der Küste
la fábrica de coches	Automobilfabrik
en el oeste	im Westen
en el norte	im Norden
en el sur	im Süden
una isla	eine Insel
los Pirineos	die Pyrenäen
España limita con Fancia.	Spanien grenzt an Frankreich.
exportar	exportieren
