אָמֵר	er hat gesagt
דִבֶּר	er hat geredet
עָשָׂה	er hat getan
הָלַךְ	er ist gegangen
בָּא	er ist gekommen / er ist hineingegangen
וַּיֹאמֶר	und er sagte
ןַּיְדַּבֵר	und er redete
ןַּיַעַשׂ	und er tat / und er macht
ןַּיֵלֶךְ	und er ging
ןַּיָבֹא	und er kam
ןְ	und / aber
כֹּה	so
כַּאֲשֶׁר ... כֵּן	wie ... so ...
כַּאֲשֶׁר	als / weil
לֹא	nicht / nein
כִּי	dass / denn / weil / wenn / "wahrhaftig"
לֵאמֹר	folgendermassen / indem er sagte / ":"
לְ	für / hinsichtlich / zu
אֶל–	zu / nach ... hin
מֶלֶךְ	König
נָבִיא	Prophet
כֹּל	(Gesamtheit) alle / jeder / ganz
אֱלֹהִים	Gott
בֵּן	Sohn
בַּיִּת	Haus

נָתַנ	er hat gegeben / gesetzt
לָקַח	er hat genommen
הָיָה	er ist gewesen / geworden
רָאָה	er hat gesehen
שָׁמַע	er hat gehört
וַיִּתֵּן	und er gab / setzte / setzte ein
וַיִּקַּח	und er nahm
וַיְּהִי	und er war / wurde / und es geschah
וַיַּרְא	und er sah
וַיִּשְׁמַע	und er hörte
בְּ	in / mit / durch (instrumental)
כְּ	wie / entsprechend
עַל–	auf / über / gegen / wegen
עִם–	mit (soziativ)
בֵּין	zwischen
תַּחַת	unter / anstelle von
אֲשֶׁר	Relativ-Partikel / dass / von welchem gilt
אֵת/אֶת–	Akkusativ-Zeichen
הַ ּ	Artikel
זֶה	dieser (m.)
זֹאת	diese (f.) / dies (neutrisch)
אֵלֶּה	diese (pl. m./f.)
אִישׁ	Mann / jemand / ein jeder
אִשָּׁה	Frau
בָּנִים	Söhne
בַּת	Tochter
בָּקָר	Rinder (koll.)
עַם	Volk (das Volk)
כֹּהֵן	Priester
רֹאשׁ	Kopf / Haupt / Gipfel / Anfang
קֹול	Stimme / Geräusch
דָּבָר	Wort / Sache / Ereignis
צָבָא (m.)	Heer
אֶרֶץ (f.)	Land / Erde (meist Israel)
חָכְמָה	Weisheit
שָׁלֹום	Friede / Wohlergehen
גָּדֹול	gross

דרשׁ	nach etw. fragen / trachten / fordern
זכר	an etw./jem. denken / sich erinnern
כרת	abschneiden
כתב	schreiben
פקד	sich kümmern um / heimsuchen / mustern
קבר	begraben
רדף	verfolgen
שׂרף	verbrennen
שׁמר	hüten / bewahren / halten
תפשׂ	fassen / ergreifen
מִן–	von / seit / wegen
עַד–	bis / bis zu
לִפְנֵי	vor
אַחַר/אַחֲרֵי	nach / hinter ... her
אֵת/אֶת–	bei / mit (soziativ)
גַּם	auch
רַק	nur
שָׁם	dort
שָׁמָּה	dorthin / dort
הִנֵּה	siehe!
לְעֹולָם	auf immer
לִקְרַאת	entgegen
אַתָּה	du (m.)
הֵם/הֵמָּה	sie (3. pl. m.)
הֲ	Interrogativ-Partikel
מִי	wer?
מַה–	was?
מַדּוּעַ	warum?
לָמָּה	warum?
אֵיךְ	wie?
אַיֵּה	wo?
אָנָה	wohin?
מָתַי	wann?
אָדָם	Mensch / Menschen (koll.)
אֲנָשִׁים	Männer
בְּרִית (f.)	Bund / Verpflichtung
מִצְוָה (f.)	Gebot
סֵפֶר	Schriftstück / Brief / Buch
נְאֻם	Ausspruch
הַר	Berg / Gebirge
עִיר	Stadt
נַעַר	Knabe / Knecht
נַעֲרָה	Mädchen / Magd
עֵץ	Baum / Holz
חַיִּים	Leben (pl.)
אֵשׁ	Feuer
מִלְחָמָה	Kampf / Krieg
חָכָם	weise / Weiser
כֶּסֶף	Silber / Geld
זָהָב	Gold

מלך	König werden / König sein
שׁפט	richten
משׁל (בְּ)	herrschen (über)
שׁכן	sich niederlassen / wohnen
לכד	fangen / einnehmen
מכר	verkaufen
שׁכר	zerbrechen (trans.)
דרך	treten
שׁפך	ausgiessen
פרשׂ	aubreiten
מְאֹד	sehr
הִנְנִי	siehe, ich ... / hier bin ich
לָכֵן/עַל–כֵּן	deshalb
טֹוב	gut
יָשָׁר	recht / gerade
קָטָן/קָטֹן	klein
חָזָק	fest / hart / stark
צַדִּיק	gerecht
טמֵא	nahe / Verwandter
רָחֹוק	fern
לֵב	Herz
שֵׁם	Name
עֵת	Zeitpunkt / Zeit
נָשִׁים	Frauen
יָד	Hand
דָּם	Blut
אָח	Bruder
מָוֶת	Tod
יֹום	Tag
בְּהֵמָה	Tiere / Vieh (koll.)
קֶשֶׁת	Bogen

כָּבֵד	schwer werden / schwer sein
לָבֵשׁ	sich bekleiden mit
קרב	sich nähern / nahe sein
רכב	reiten / fahren
שׁכב	sich niederlegen / liegen
זרע	säen
פשׁע (בְּ)	brechen mit / sich vergehen an / sündigen
קרע	zerreissen / losreissen
שׁבע	satt werden / satt sein
גבהּ	hoch (erhaben/hochmütig) sein
רוּחַ (pl. רוּחֹות)	Wind / Hauch / Geist
חוּץ	Gasse / draussen
סוּס	Pferd
גְּבוּל (m)	Grenze / Gebiet
עַמּוּד	Pfeiler / Säule
גֹּוי	Volk
דֹּור	Generation
אֹור	Licht
כֹּחַ	Kraft
אֲרֹון	Lade / Kasten
בְּכֹר	erstgeboren / Erstgeborener
גִּבֹּור	stark / Held / Krieger
אֵל	Gott
רֵעַ	Nächster / Freund
רִאשֹׁון	erster / früherer
נָא	doch / bitte
סָבִיב	ringsum
כִּי אִם	sondern
בֶּגֶד	Kleid
זֶרַע	Same / Nachkommenschaft
פֶּשַׁע	Frevel / Auflehnung
גָּבֹחַּ	hoch

בטח (בְּ)	vertrauen (auf)
ברח	entlaufen / entfliehen
זבח	opfern / schlachten
משׁח	salben
פתח	öffnen
סלח	vergeben
רצח	töten / morden
שׂמח	sich freuen
שׁלח	senden
אַל	nicht!
פֶּן	damit nicht / dass nicht / sonst
לְבִלְתִּי	nicht zu (+ Inf. cs.)
אַיִן/אֵין–	Nichtvorhandensein / es gibt nicht / es ist nicht
יֵשׁ	Vorhandensein / es gibt
בַּל	nicht
אָב	Vater
אָחֹות	Schwester
אָמָה	Magd
פֶּה	Mund / (Öffnung / Befehl)
מַיִם	Wasser
שָׁמַיִם	Himmel
אָדֹון	Herr
שַׁבָּת	Sabbat
עֹולָם	Ewigkeit (fernste Zeit)
בָּרוּךְ	gesegnet / gepriesen
רַב	zahlreich / viel / gross / genug
צֶדֶק	Gerechtigkeit / Heil
גֵּר	Fremdling / Schutzbürger
אֵם	Mutter
אַחֵר	anderer
בֶּטַח	Sicherheit
זֶבַח	Opfer
מָשִׁיחַ	Gesalbter
פֶתַח	Öffnung / Eingang / Tür
שִׂמְחָה	Freude

לחם (בְּ)	kämpfen / Krieg führen (gegen)
שׂבע (בְּ)	schwören (auf)
שׂאר	übrigbleiben
מלט	entrinnen / sich retten
פלא	wunderbar sein / (ungewöhnlich / zu schwer sein)
קבץ	sammeln
קרא	rufen / nennen / lesen
נשׁא	erheben / tragen / nehmen
מתא	finden / antreffen
מָלֵא	voll sein / (einen Raum) erfüllen
שַׁר	Beamter / Oberster / Fürst
יָם	Meer
אַף	Nase / Zorn
רַע	schlecht / Böse
כַּף	Handfläche / Hand
פַּר	(junger) Stier
חַי	lebend / lebendig
חֹק	Satzung / Festgesetztes
לְבַד (בַּד)	allein (Stück)
רֹב (לָרֹב)	Menge (an Menge)
חֶרֶב (f.)	Schwert
חַרִל	Kraft / Tüchtigkeit / Heer
חֲלֹום	Traum
